timestamp,PM2.5,PM10,Temperature,Humidity,CO,epa_aqi,epa_category,ml_aqi,ml_category
2025-05-14 00:29:07+00:00,10.0,11.0,30.4,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:29:40+00:00,10.0,11.0,30.4,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:30:13+00:00,11.0,12.0,30.5,47.0,6.0,66.0,Moderate,66.5,Moderate
2025-05-14 00:30:46+00:00,9.0,9.0,30.6,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:31:20+00:00,9.0,9.0,30.6,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:31:53+00:00,9.0,10.0,30.6,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:32:26+00:00,9.0,10.0,30.6,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:32:58+00:00,9.0,9.0,30.6,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:33:32+00:00,9.0,12.0,30.7,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:34:05+00:00,9.0,11.0,30.6,47.0,8.0,86.0,Moderate,85.4,Moderate
2025-05-14 00:34:38+00:00,8.0,8.0,30.6,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:35:11+00:00,8.0,8.0,30.7,47.0,8.0,86.0,Moderate,85.4,Moderate
2025-05-14 00:35:44+00:00,9.0,9.0,30.7,47.0,8.0,86.0,Moderate,85.4,Moderate
2025-05-14 00:36:17+00:00,9.0,9.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:36:50+00:00,9.0,9.0,30.7,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:37:23+00:00,10.0,10.0,30.8,47.0,6.0,66.0,Moderate,66.5,Moderate
2025-05-14 00:37:57+00:00,10.0,12.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:38:30+00:00,10.0,12.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:39:07+00:00,12.0,13.0,30.7,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:39:40+00:00,7.0,7.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:40:14+00:00,7.0,7.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:40:47+00:00,7.0,7.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:41:24+00:00,7.0,7.0,30.8,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:41:59+00:00,7.0,7.0,30.9,47.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:42:33+00:00,8.0,8.0,30.8,47.0,8.0,86.0,Moderate,85.4,Moderate
2025-05-14 00:43:09+00:00,8.0,8.0,30.8,48.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:43:44+00:00,7.0,9.0,30.8,48.0,8.0,86.0,Moderate,85.5,Moderate
2025-05-14 00:44:17+00:00,6.0,8.0,30.8,48.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:44:51+00:00,6.0,8.0,30.8,48.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:45:28+00:00,6.0,8.0,30.8,48.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:46:05+00:00,6.0,8.0,30.8,48.0,9.0,96.0,Moderate,91.2,Moderate
2025-05-14 00:46:41+00:00,9.0,10.0,30.8,48.0,8.0,86.0,Moderate,85.4,Moderate
2025-05-14 00:47:16+00:00,9.0,9.0,30.9,48.0,7.0,76.0,Moderate,75.5,Moderate
2025-05-14 00:47:53+00:00,9.0,9.0,30.9,48.0,8.0,86.0,Moderate,85.4,Moderate
2025-05-14 00:49:05+00:00,8.0,8.0,30.8,48.0,8.0,86.0,Moderate,85.4,Moderate
